gamma,noisy,first_order,second_order
0.0001,-14.093567164389276,-14.093355251702727,-14.093355141323357
0.0002,-14.093779077075272,-14.093355582929048,-14.093355141219462
0.0005,-14.094414152630584,-14.093357903252345,-14.093355139727343
0.001,-14.095470402008269,-14.093366201739954,-14.093355128683655
0.002,-14.097574602276566,-14.093399482997157,-14.093355042261628
0.005,-14.103820591745038,-14.093634068911658,-14.093353693660163
0.01,-14.114007114578694,-14.094481692541768,-14.093344891771217
0.02,-14.133532536615327,-14.097931639072396,-14.093294161301195
0.03,-14.151912670109596,-14.103762167566641,-14.093218329087172
0.05,-14.185185302594126,-14.122492705574857,-14.093321357604836
0.1,-14.247877899612835,-14.20471392980336,-14.102463383087091
