gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,90.18488822452757,90.19823129581907,90.19823555438629,90.19808052805027,90.19823500406447
0.0002,90.17154515323602,90.19821857707285,90.19823547465563,90.19761986515095,90.19823110095024
0.0005,90.13154133132497,90.19813109114082,90.1982341479536,90.19446910569825,90.19816714701176
0.001,90.06495157151309,90.19782896119888,90.19822431126815,90.18369136889555,90.19770574043713
0.002,89.93207418183025,90.19669834377265,90.19814705784674,90.14391411961812,90.19426543299886
0.005,89.53565953702915,90.19023361597513,90.1969376041312,89.91779158621954,90.14734508823288
0.01,88.88108545808316,90.17584427186162,90.18926431288591,89.34691509459104,89.90503483902795
0.02,87.5863266443047,90.16617532363722,90.15220717864639,88.02262779650458,91.13296355381094
0.03,86.29814832276375,90.19978434449985,90.11747016677387,86.86905017798492,90.60875223332553
0.05,83.70635369151461,90.32404746241296,90.17743095526029,84.54984983164239,88.85759800537205
0.1,77.08865992061442,90.41327033004666,90.49887110153688,78.06293284659412,84.43605682891193
